P	P (slang)_femme_(lesbian_stereotype) 
䬪	䬪 variant_of_餺|馎[bo2] 
䭾	䭾 variant_of_馱|驮[tuo2] 
䯝	䯝 variant_of_髓 marrow essence quintessence pith_(soft_interior_of_plant_stem) 
䰟	䰟 old_variant_of_魂[hun2] 
䰾	䰾 see_䰾魚|鲃鱼[ba1_yu2] 
䲔	䲔 old_variant_of_鯨|鲸[jing1] 
䳗	䳗 variant_of_鵝|鹅[e2] 
䳘	䳘 variant_of_鵝|鹅[e2] 
䴉	䴉 spoonbill ibis family_Threskiornithidae 
䴸	䴸 variant_of_麩|麸[fu1] 
䵹	䵹 old_variant_of_蜘[zhi1] 
䶊	䶊 old_variant_of_衄[nu:4] 
䶑	䶑 variant_of_嚏[ti4] 
一	一 one 1 single a_(article) as_soon_as entire whole all throughout "one"_radical_in_Chinese_characters_(Kangxi_radical_1) also_pr._[yao1]_for_greater_clarity_when_spelling_out_numbers_digit_by_digit 
%	% percent_(Tw) 
A	A (slang)_(Tw)_to_steal 
B	B euphemistic_variant_of_屄[bi1] 
丁	丁 surname_Ding 
丁	丁 fourth_of_the_ten_Heavenly_Stems_十天干[shi2_tian1_gan1] fourth_in_order letter_"D"_or_roman_"IV"_in_list_"A,_B,_C",_or_"I,_II,_III"_etc ancient_Chinese_compass_point:_195° butyl cubes_(of_food) 
丄	丄 old_variant_of_上[shang4] 
丅	丅 old_variant_of_下[xia4] 
万	万 see_万俟[Mo4_qi2] 
三	三 surname_San 
三	三 three 3 
七	七 seven 7 
丂	丂 "breath"_or_"sigh"_component_in_Chinese_characters 
丆	丆 one_of_the_characters_used_in_kwukyel_(phonetic_"myeon"),_an_ancient_Korean_writing_system 
丈	丈 measure_of_length,_ten_Chinese_feet_(3.3_m) to_measure husband polite_appellation_for_an_older_male 
上	上 see_上聲|上声[shang3_sheng1] 
上	上 on_top upon above upper previous first_(of_multiple_parts) to_climb to_get_onto to_go_up to_attend_(class_or_university) 
丌	丌 surname_Ji 
丌	丌 "pedestal"_component_in_Chinese_characters 
丌	丌 archaic_variant_of_其[qi2] 
不	不 (negative_prefix) not no 
下	下 down downwards below lower later next_(week_etc) second_(of_two_parts) to_decline to_go_down to_arrive_at_(a_decision,_conclusion_etc) measure_word_to_show_the_frequency_of_an_action 
丏	丏 hidden_from_view barrier_to_ward_off_arrows 
丐	丐 to_beg_for_alms beggar 
丨	丨 radical_in_Chinese_characters_(Kangxi_radical_2) 
丨	丨 see_豎筆|竖笔[shu4_bi3] 
丩	丩 archaic_variant_of_糾|纠[jiu1] 
丫	丫 fork branch bifurcation girl 
中	中 China Chinese surname_Zhong 
中	中 to_hit_(the_mark) to_be_hit_by to_suffer to_win_(a_prize,_a_lottery) 
丑	丑 surname_Chou 
丑	丑 clown 2nd_earthly_branch:_1-3_a.m.,_12th_solar_month_(6th_January_to_3rd_February),_year_of_the_Ox ancient_Chinese_compass_point:_30° 
丒	丒 variant_of_醜|丑[chou3] 
且	且 and moreover yet for_the_time_being to_be_about_to both_(..._and...) 
丗	丗 archaic_variant_of_世[shi4] 
丘	丘 surname_Qiu 
丘	丘 mound hillock grave classifier_for_fields 
丙	丙 third_of_the_ten_Heavenly_Stems_十天干[shi2_tian1_gan1] third_in_order letter_"C"_or_roman_"III"_in_list_"A,_B,_C",_or_"I,_II,_III"_etc ancient_Chinese_compass_point:_165° propyl 
丞	丞 deputy 
丟	丟 to_lose to_put_aside to_throw 
丠	丠 old_variant_of_丘[qiu1] 
両	両 Japanese_variant_of_兩|两 
丣	丣 old_variant_of_酉[you3] 
並	並 and furthermore also together_with (not)_at_all simultaneously to_combine to_join to_merge 
丮	丮 to_catch 
主	主 owner master host individual_or_party_concerned God Lord main to_indicate_or_signify trump_card_(in_card_games) 
丼	丼 (Tw)_bowl_of_boiled_rice_with_other_food_on_top_(loanword_from_Japanese_"donburi") 
丼	丼 old_variant_of_井[jing3] 
丿	丿 radical_in_Chinese_characters_(Kangxi_radical_4) see_撇[pie3] 
乀	乀 stretch 
乀	乀 variant_of_丿[pie3] 
乂	乂 to_regulate to_govern to_control to_mow 
乃	乃 to_be thus so therefore then only thereupon 
乖	乖 (of_a_child)_obedient,_well-behaved clever shrewd alert perverse contrary_to_reason irregular abnormal 
乙	乙 second_of_the_ten_Heavenly_Stems_十天干[shi2_tian1_gan1] second_in_order letter_"B"_or_roman_"II"_in_list_"A,_B,_C",_or_"I,_II,_III"_etc second_party_(in_legal_contract,_usually_乙方[yi3_fang1],_as_opposed_to_甲方[jia3_fang1]) ethyl bent winding radical_in_Chinese_characters_(Kangxi_radical_5) ancient_Chinese_compass_point:_105° 
乙	乙 turning_stroke_(in_Chinese_characters) see_also_折[zhe2] 
乚	乚 component_in_Chinese_characters archaic_variant_of_毫[hao2] archaic_variant_of_乙[yi3] 
乛	乛 variant_of_乙[zhe2] 
乜	乜 to_squint what?_(Cantonese) see_also_乜嘢[mie1_ye3] 
九	九 nine 9 
亇	亇 variant_of_個|个[ge4] 
予	予 (archaic)_I me 
予	予 to_give 
亊	亊 variant_of_事[shi4] 
事	事 matter thing item work affair CL:件[jian4],樁|桩[zhuang1],回[hui2] 
丰	丰 luxuriant buxom variant_of_豐|丰[feng1] variant_of_風|风[feng1] appearance charm 
丱	丱 two_tufts_of_hair young underage 
丱	丱 archaic_variant_of_礦|矿[kuang4] 
串	串 to_string_together to_skewer to_connect_wrongly to_gang_up to_rove string bunch skewer classifier_for_things_that_are_strung_together,_or_in_a_bunch,_or_in_a_row:_string_of,_bunch_of,_series_of to_make_a_swift_or_abrupt_linear_movement_(like_a_bead_on_an_abacus) to_move_across 
丳	丳 skewer 
丵	丵 thick_grass "bush"_component_in_Chinese_characters 
丶	丶 "dot"_radical_in_Chinese_characters_(Kangxi_radical_3) see_also_點|点[dian3] 
丷	丷 "eight"_component_in_Chinese_characters archaic_variant_of_八[ba1] 
丷	丷 one_of_the_characters_used_in_kwukyel,_an_ancient_Korean_writing_system 
丸	丸 ball pellet pill 
丹	丹 red pellet powder cinnabar 
久	久 (long)_time (long)_duration_of_time 
乆	乆 archaic_variant_of_久[jiu3] 
乇	乇 archaic_variant_of_托[tuo1] 
乇	乇 "blade_of_grass"_component_in_Chinese_characters 
么	么 surname_Yao 
么	么 youngest most_junior tiny one_(unambiguous_spoken_form_when_spelling_out_numbers,_esp._on_telephone_or_in_military) one_or_ace_on_dice_or_dominoes variant_of_吆[yao1],_to_shout 
乊	乊 one_of_the_characters_used_in_kwukyel_(phonetic_"ho"),_an_ancient_Korean_writing_system 
乍	乍 at_first suddenly abruptly to_spread (of_hair)_to_stand_on_end bristling 
乎	乎 (classical_particle_similar_to_於|于[yu2])_in at from because than (classical_final_particle_similar_to_嗎|吗[ma5],_吧[ba5],_呢[ne5],_expressing_question,_doubt_or_astonishment) 
乏	乏 short_of tired 
乑	乑 to_stand_side_by_side variant_of_眾|众[zhong4] 
乒	乒 (onom.)_ping bing 
乓	乓 (onom.)_bang 
乕	乕 archaic_variant_of_虎[hu3] 
之	之 (possessive_particle,_literary_equivalent_of_的[de5]) him her it 
乗	乗 Japanese_variant_of_乘[cheng2] 
乘	乘 surname_Cheng 
乘	乘 to_ride to_mount to_make_use_of to_avail_oneself_of to_take_advantage_of to_multiply_(mathematics) Buddhist_sect_or_creed 
乘	乘 four_horse_military_chariot_(archaic) four_(archaic) generic_term_for_history_books 
乴	乴 to_grasp 
乵	乵 archaic_variant_of_進|进[jin4] 
乶	乶 phonetic_pol,_used_in_Korean_place_name see_Polha_乶下[Fu3_xia4],_Korean_place_name_in_former_Hamgyeongdo_Province_咸鏡道|咸镜道[Xian2_jing4_dao4] 
乷	乷 phonetic_"sal"_(Korean_gugja) 
乸	乸 feminine_suffix_(Cantonese) postfix_indicating_feminine 
乹	乹 old_variant_of_乾[qian2] 
乹	乹 old_variant_of_乾|干[gan1] 
乺	乺 phonetic_"sol"_used_in_place_names_(Korean_gugja) 
乼	乼 rope_(Korean_gugja) 
乾	乾 surname_Qian 
乾	乾 one_of_the_Eight_Trigrams_八卦[ba1_gua4],_symbolizing_heaven male_principle ☰ ancient_Chinese_compass_point:_315°_(northwest) 
乾	乾 surname_Gan 
乾	乾 dry clean in_vain dried_food foster adoptive to_ignore 
亃	亃 mythical_animal,_said_to_have_yellow_body_and_white_tail 
亄	亄 covetous greedy stingy 
亅	亅 "vertical_stroke_with_hook"_radical_in_Chinese_characters_(Kangxi_radical_6) see_also_豎鉤|竖钩[shu4_gou1] 
了	了 (modal_particle_intensifying_preceding_clause) (completed_action_marker) 
了	了 to_finish to_achieve variant_of_瞭|了[liao3] to_understand_clearly 
乞	乞 to_beg 
亍	亍 step_with_the_right_foot see_彳亍[chi4_chu4] 
于	于 surname_Yu 
于	于 to_go to_take sentence-final_interrogative_particle variant_of_於|于[yu2] 
亐	亐 archaic_variant_of_于[Yu2] 
云	云 (classical)_to_say 
互	互 mutual 
估	估 estimate 
估	估 old second-hand_(clothes) 
伱	伱 archaic_variant_of_你[ni3] you 
伲	伲 variant_of_你[ni3] 
伲	伲 (dialect)_I my we our 
伴	伴 partner companion comrade associate to_accompany 
伶	伶 clever (old)_actor actress 
佤	佤 Wa,_Kawa_or_Va_ethnic_group_of_Myanmar,_south_China_and_southeast_Asia 
佧	佧 ancient_name_for_an_ethnic_group_in_China 
佩	佩 to_respect to_wear_(belt_etc) 
佪	佪 irresolute to_move_back_and_forth 
佫	佫 surname_He 
佬	佬 male man_(Cantonese) 
佯	佯 to_feign to_pretend 
佰	佰 hundred_(banker's_anti-fraud_numeral) 
佱	佱 old_variant_of_法[fa3] law 
亻	亻 "person"_radical_in_Chinese_characters_(Kangxi_radical_9) 
亼	亼 variant_of_集[ji2] 
亽	亽 archaic_variant_of_亼[ji2] 
亽	亽 one_of_the_characters_used_in_kwukyel_(phonetic_"ra"),_an_ancient_Korean_writing_system 
亾	亾 old_variant_of_亡[wang2] 
中	中 within among in middle center while_(doing_sth) during (dialect)_OK all_right 
也	也 surname_Ye 
也	也 also too (in_Classical_Chinese)_final_particle_implying_affirmation 
乢	乢 ancient_variant_of_蓋|盖[gai4] ancient_variant_of_丐[gai4] 
乣	乣 archaic_variant_of_糺[jiu3] 
乥	乥 one_of_the_characters_used_in_kwukyel_(phonetic_"hol"),_an_ancient_Korean_writing_system 
乨	乨 archaic_variant_of_始[shi3] 
乩	乩 to_divine 
乪	乪 a_bend_in_a_river_(Cantonese) 
乭	乭 rock phonetic_"dol"_used_in_names_(Korean_kugja) 
乳	乳 breast milk 
乤	乤 first_character_in_place_name_乤浦_"Halpho"_(Korean_gugja) 
乧	乧 archaic_Korean_hanja_pronounced_dul,_phonetic_斗_du_plus_乙_ul 
二	二 two 2 (Beijing_dialect)_stupid 
乫	乫 phonetic_"gal"_used_in_place_names_(Korean_gugja) 
仂	仂 surplus tithe 
仃	仃 alone 
仄	仄 to_tilt narrow uneasy oblique_tones_(in_Chinese_poetry) 
仆	仆 to_fall_forward to_fall_prostrate 
仇	仇 surname_Qiu 
仇	仇 hatred animosity enmity foe enemy to_feel_animosity_toward_(the_wealthy,_foreigners_etc) 
仮	仮 Japanese_variant_of_假 
仰	仰 surname_Yang 
仰	仰 to_face_upward to_look_up to_admire to_rely_on 
仲	仲 surname_Zhong 
仲	仲 second_month_of_a_season middle intermediate second_amongst_brothers 
伾	伾 multitudinous powerful 
佀	佀 old_variant_of_似[si4] 
佃	佃 farmer 
佃	佃 to_cultivate to_hunt 
但	但 but yet however only merely still 
佇	佇 to_stand_for_a_long_time to_wait to_look_forward_to to_accumulate 
佈	佈 variant_of_布[bu4] to_announce to_spread 
仈	仈 surname_Ba 
仉	仉 surname_Zhang 
今	今 today modern present current this now 
俴	俴 short shallow thin_plate 
仳	仳 to_part 
仵	仵 surname_Wu 
仵	仵 equal well-matched to_violate 
件	件 item component classifier_for_events,_things,_clothes_etc 
任	任 surname_Ren Ren_County_任縣|任县[Ren2_Xian4]_in_Hebei 
任	任 to_assign to_appoint to_take_up_a_post office responsibility to_let to_allow to_give_free_rein_to no_matter_(how,_what_etc) classifier_for_terms_served_in_office,_or_for_spouses,_girlfriends_etc_(as_in_前任男友) 
佉	佉 surname_Qu 
佌	佌 petty wretched 
位	位 position location place seat classifier_for_people_(honorific) classifier_for_binary_bits_(e.g._十六位_16-bit_or_2_bytes) (physics)_potential 
低	低 low beneath to_lower_(one's_head) to_let_droop to_hang_down to_incline 
什	什 what 
什	什 ten_(used_in_fractions,_writing_checks_etc) assorted miscellaneous 
仁	仁 humane kernel 
伸	伸 to_stretch to_extend 
伹	伹 clumsy_and_dumb slow-witted 
伺	伺 to_wait_on 
伺	伺 to_watch to_wait to_examine to_spy 
侀	侀 shape statute 
侁	侁 large_crowd 
侂	侂 to_commission to_entrust_to to_depute to_request to_ask_(sb_to_do_sth) 
侃	侃 upright_and_honest cheerful to_chat_idly to_boast to_talk_smoothly 
侄	侄 variant_of_姪|侄[zhi2] 
侅	侅 to_give prepared_for_included_in embraced_in 
來	來 to_come to_arrive to_come_round ever_since next 
仨	仨 three_(colloquial_equivalent_of_三個|三个) 
伻	伻 to_cause 
似	似 see_似的[shi4_de5] 
似	似 to_seem to_appear to_resemble similar -like pseudo- (more)_than 
伽	伽 traditionally_used_as_phonetic_for_ga also_pr._[ga1] also_pr._[qie2] 
侜	侜 to_conceal to_cover 
依	依 to_depend_on to_comply_with_or_listen_to_sb according_to in_the_light_of 
介	介 to_introduce to_lie_between between shell armor 
仌	仌 old_variant_of_冰[bing1] 
仍	仍 still yet to_remain 
伀	伀 restless agitated 
企	企 to_plan_a_project to_stand_on_tiptoe Taiwan_pr._[qi4] abbr._for_企業|企业[qi3_ye4] 
侏	侏 dwarf 
侐	侐 still silent 
侑	侑 urge_to_eat 
侔	侔 similar comparable equal 
侖	侖 to_arrange 
侗	侗 Dong_(ethnic_group) 
侗	侗 (ethnic_group) 
侗	侗 ignorant 
侘	侘 boast despondent 
侚	侚 quick variant_of_殉[xun4] 
供	供 to_provide to_supply 
供	供 sacrificial_offering to_confess 
伯	伯 father's_elder_brother senior paternal_elder_uncle eldest_of_brothers respectful_form_of_address Count,_third_of_five_orders_of_nobility_五等爵位[wu3_deng3_jue2_wei4] 
付	付 surname_Fu 
付	付 to_pay to_hand_over_to classifier_for_pairs_or_sets_of_things 
伄	伄 see_伄儅[diao4_dang1] 
伇	伇 old_variant_of_役[yi4] 
伈	伈 nervous fearful 
伉	伉 spouse big_and_tall strong robust upright_and_outspoken 
伊	伊 surname_Yi abbr._for_伊拉克[Yi1_la1_ke4],_Iraq abbr._for_伊朗[Yi1_lang3],_Iran 
伊	伊 he she 
住	住 to_live to_dwell to_stay to_reside to_stop (suffix_indicating_firmness,_steadiness,_or_coming_to_a_halt) 
仙	仙 immortal 
份	份 classifier_for_gifts,_newspaper,_magazine,_papers,_reports,_contracts_etc variant_of_分[fen4] 
伩	伩 variant_of_信[xin4]_(originally_meant_as_part_of_the_second_round_of_simplified_Chinese_characters) 
侇	侇 (old)_class category corpse 
侈	侈 extravagant wasteful exaggerating 
侉	侉 foreign_accent 
例	例 example precedent rule case instance 
侌	侌 old_variant_of_陰|阴[yin1] 
侍	侍 to_serve to_attend_upon 
仏	仏 Japanese_variant_of_佛 
仒	仒 one_of_the_characters_used_in_kwukyel_(phonetic_"eo"_or_"sya"),_an_ancient_Korean_writing_system 
仔	仔 variant_of_崽[zai3] 
仔	仔 see_仔肩[zi1_jian1] 
仔	仔 meticulous (of_domestic_animals_or_fowls)_young 
仕	仕 to_serve_as_an_official an_official the_two_chess_pieces_in_Chinese_chess_guarding_the_"general"_or_"king"_將|将[jiang4] 
他	他 he_or_him (used_for_either_sex_when_the_sex_is_unknown_or_unimportant) (used_before_sb's_name_for_emphasis) (used_as_a_meaningless_mock_object) other another 
仗	仗 weaponry to_hold_(a_weapon) to_wield to_rely_on to_depend_on war battle 
仿	仿 to_imitate to_copy 
佗	佗 carry_on_the_back 
佘	佘 surname_She 
余	余 surname_Yu 
余	余 (archaic)_I me variant_of_餘|余[yu2],_surplus 
佚	佚 old_variant_of_迭[die2] 
佛	佛 Buddha Buddhism 
何	何 what how why which carry 
佳	佳 surname_Jia 
佳	佳 beautiful fine good 
伋	伋 unreal 
伍	伍 surname_Wu 
伏	伏 surname_Fu 
佴	佴 assistant 
併	併 to_combine to_amalgamate 
佶	佶 difficult_to_pronounce 
佷	佷 to_act_contrary_to 
佸	佸 meet 
佹	佹 almost_succeed crafty suddenly 
佺	佺 immortal 
佻	佻 frivolous unsteady delay 
佼	佼 handsome 
佽	佽 surname_Ci 
佽	佽 nimble to_help 
佾	佾 row_of_dancers_at_sacrifices 
使	使 to_make to_cause to_enable to_use to_employ to_send to_instruct_sb_to_do_sth envoy messenger 
令	令 see_令狐[Ling2_hu2] 
令	令 see_脊令[ji2_ling2] 
令	令 classifier_for_a_ream_of_paper 
令	令 to_order to_command an_order warrant writ to_cause to_make_sth_happen virtuous honorific_title season government_position_(old) 
佐	佐 to_assist assistant aide to_accompany 
佑	佑 to_assist to_protect 
佔	佔 variant_of_占[zhan4] 
仚	仚 old_variant_of_仙[xian1] 
仝	仝 (used_in_given_names) variant_of_同[tong2] 
仞	仞 (measure) 
仟	仟 thousand_(banker's_anti-fraud_numeral) 
仡	仡 see_仡佬族[Ge1_lao3_zu2],_Gelao_or_Klau_ethnic_group_of_Guizhou Taiwan_pr._[Qi4] 
仡	仡 strong brave 
代	代 to_substitute to_act_on_behalf_of_others to_replace generation dynasty age period (historical)_era (geological)_eon 
何	何 surname_He 
作	作 worker workshop (slang)_troublesome high-maintenance_(person) 
伍	伍 squad_of_five_soldiers to_associate_with five_(banker's_anti-fraud_numeral) 
伎	伎 artistry talent skill (in_ancient_times)_female_entertainer 
伏	伏 to_lean_over to_fall_(go_down) to_hide_(in_ambush) to_conceal_oneself to_lie_low hottest_days_of_summer to_submit to_concede_defeat to_overcome to_subdue volt 
俱	俱 entirely without_exception (literary)_to_be_together to_be_alike 
俲	俲 variant_of_傚|效[xiao4] 
俳	俳 not_serious variety_show 
俵	俵 to_distribute 
俶	俶 to_begin 
俸	俸 salary 
俺	俺 I_(northern_dialects) 
俻	俻 variant_of_備|备[bei4] 
伕	伕 variant_of_夫[fu1] 
伙	伙 meals_(abbr._for_伙食[huo3_shi2]) variant_of_夥|伙[huo3] 
伜	伜 variant_of_倅[cui4] 
伝	伝 to_summon to_propagate to_transmit 
伢	伢 (dialect)_child 
伯	伯 variant_of_霸[ba4] 
伯	伯 one_hundred_(old) 
俷	俷 (meaning_unclear) to_renounce to_abandon 
俾	俾 to_cause to_enable phonetic_bi Taiwan_pr._[bi4] 
伝	伝 Japanese_variant_of_傳|传 
佚	佚 surname_Yi 
佚	佚 lost missing forsaken dissolute (of_a_woman)_beautiful fault offense hermit variant_of_逸[yi4] 
伐	伐 to_cut_down to_fell to_dispatch_an_expedition_against to_attack to_boast Taiwan_pr._[fa1] 
作	作 to_do to_grow to_write_or_compose to_pretend to_regard_as to_feel writings_or_works 
以	以 abbr._for_Israel_以色列[Yi3_se4_lie4] 
以	以 to_use by_means_of according_to in_order_to because_of at_(a_certain_date_or_place) 
休	休 surname_Xiu 
休	休 to_rest to_stop_doing_sth_for_a_period_of_time to_cease (imperative)_don't 
亓	亓 surname_Qi 
亓	亓 his her its their 
五	五 five 5 
仫	仫 name_of_tribe see_仫佬族[Mu4_lao3_zu2],_Mulao_ethnic_group_of_Guangxi 
仇	仇 spouse companion 
佝	佝 see_佝僂|佝偻[gou1_lou2] 
佝	佝 see_佝瞀[kou4_mao4] 
佞	佞 to_flatter flattery 
佟	佟 surname_Tong 
你	你 you_(informal,_as_opposed_to_courteous_您[nin2]) 
佡	佡 variant_of_仙,_immortal light_(as_a_feather) 
佢	佢 he_(Cantonese) Mandarin_equivalent:_他[ta1] 
佣	佣 commission_(for_middleman) brokerage_fee 
亢	亢 high overbearing excessive 
交	交 to_hand_over to_deliver to_pay_(money) to_turn_over to_make_friends to_intersect_(lines) variant_of_跤[jiao1] 
亭	亭 pavilion booth kiosk erect 
亮	亮 bright clear resonant to_shine to_show to_reveal 
亯	亯 old_variant_of_享[xiang3] 
亱	亱 variant_of_夜[ye4] 
丕	丕 grand 
世	世 surname_Shi 
世	世 life age generation era world lifetime epoch descendant noble 
亳	亳 name_of_district_in_Anhui capital_of_Yin 
亶	亶 surname_Dan 
亶	亶 sincere 
亥	亥 12th_earthly_branch:_9-11_p.m.,_10th_solar_month_(7th_November-6th_December),_year_of_the_Boar ancient_Chinese_compass_point:_330° 
亦	亦 also 
亷	亷 old_variant_of_廉[lian2] 
亹	亹 mountain_pass defile_(archaic) 
亹	亹 resolute 
人	人 man person people CL:個|个[ge4],位[wei4] 
亨	亨 prosperous henry_(unit_of_inductance) 
亪	亪 one_of_the_characters_used_in_kwukyel_(phonetic_"ye"),_an_ancient_Korean_writing_system 
享	享 to_enjoy to_benefit to_have_the_use_of 
京	京 abbr._for_Beijing surname_Jing Jing_ethnic_minority 
京	京 capital_city_of_a_country big algebraic_term_for_a_large_number_(old) artificial_mound_(old) 
冘	冘 to_move_on to_go_out 
冞	冞 deep 
冠	冠 surname_Guan 
冠	冠 hat crown crest cap 
冠	冠 to_put_on_a_hat to_be_first to_dub 
冡	冡 old_variant_of_蒙[meng2] 
冢	冢 mound burial_mound senior_(i.e._eldest_child_or_senior_in_rank) 
冣	冣 old_variant_of_聚[ju4] 
冣	冣 old_variant_of_最[zui4] 
冤	冤 injustice grievance wrong 
出	出 to_go_out to_come_out to_occur to_produce to_go_beyond to_rise to_put_forth to_happen (used_after_a_verb_to_indicate_an_outward_direction_or_a_positive_result) classifier_for_dramas,_plays,_operas_etc 
倽	倽 old_variant_of_啥[sha2] 
偁	偁 variant_of_稱|称[cheng1] 
偃	偃 surname_Yan 
假	假 vacation 
傒	傒 (old)_native_of_Jiangxi_江西[Jiang1_xi1] to_wait servant path 
傓	傓 old_variant_of_煽[shan1] 
傔	傔 servant 
傕	傕 surname_Jue 
傕	傕 used_in_old_names 
傖	傖 low_fellow rustic rude rough 
傘	傘 umbrella parasol CL:把[ba3] 
備	備 to_prepare get_ready to_provide_or_equip 
俘	俘 to_take_prisoner prisoner_of_war 
俚	俚 old_name_for_the_黎[Li2]_ethnic_group 
俚	俚 rustic vulgar unrefined abbr._for_俚語|俚语[li3_yu3],_slang 
劉	劉 surname_Liu 
劫	劫 to_rob to_plunder to_seize_by_force to_coerce calamity abbr._for_kalpa_劫波[jie2_bo1] 
劬	劬 labor 
劭	劭 surname_Shao 
劭	劭 stimulate_to_effort 
劮	劮 old_variant_of_逸[yi4] leisurely 
労	労 Japanese_variant_of_勞|劳 
劵	劵 variant_of_券[quan4] 
劵	劵 old_variant_of_倦[juan4] 
効	効 variant_of_效[xiao4] 
劻	劻 zealous 
劼	劼 careful diligent firm 
劾	劾 to_impeach 
勘	勘 to_investigate to_survey to_collate 
務	務 affair business matter to_be_engaged_in to_attend_to by_all_means 
勛	勛 medal merit 
切	切 to_cut to_slice tangent_(math) 
切	切 definitely absolutely_(not) (scoffing_or_dismissive_interjection)_Yeah,_right. Tut! to_grind close_to eager to_correspond_to see_also_反切[fan3_qie4] 
刷	刷 to_brush to_paint to_daub to_paste_up to_skip_class_(of_students) to_fire_from_a_job 
刷	刷 to_select 
券	券 bond_(esp._document_split_in_two,_with_each_party_holding_one_half) contract deed_(i.e._title_deeds) ticket voucher certificate 
刺	刺 (onom.)_whoosh 
俛	俛 to_exhort 
俛	俛 variant_of_俯[fu3] 
俜	俜 to_send to_let_go 
保	保 Bulgaria Bulgarian abbr._for_保加利亞|保加利亚[Bao3_jia1_li4_ya4] 
保	保 to_defend to_protect to_keep to_guarantee to_ensure 
剮	剮 cut_off_the_flesh_as_punishment 
副	副 secondary auxiliary deputy assistant vice- abbr._for_副詞|副词_adverb classifier_for_pairs,_sets_of_things_&_facial_expressions 
催	催 to_urge to_press to_prompt to_rush_sb to_hasten_sth to_expedite 
匡	匡 to_rectify 
匣	匣 box 
匧	匧 old_variant_of_篋|箧[qie4] 
匪	匪 bandit (literary)_not 
匭	匭 small_box 
匯	匯 to_remit to_converge_(of_rivers) to_exchange 
冥	冥 dark deep stupid the_underworld 
借	借 to_lend to_borrow by_means_of to_take_(an_opportunity) 
傚	傚 variant_of_效[xiao4] to_imitate 
傜	傜 Yao_tribe 
傞	傞 uneven unsteady_(in_dancing) 
傢	傢 see_傢伙|家伙[jia1_huo5] 
傣	傣 Dai_(ethnic_group) 
偃	偃 to_lie_supine to_stop to_fall_down 
假	假 fake false artificial to_borrow if suppose 
勁	勁 strength energy enthusiasm spirit mood expression interest CL:把[ba3] 
勁	勁 stalwart sturdy strong powerful 
勃	勃 flourishing prosperous suddenly abruptly 
